p_brand,p_discount,p_discount_label,p_id,p_image,p_mrp,p_name,p_price,p_rating,p_rating_count,p_season,p_url
MABISH by Sonal Jain,₹1612,62%,23893706,http://assets.myntassets.com/assets/images/23893706/2023/7/17/d8b72833-0703-4e1c-ab06-265d384edd641689574634965-MABISH-by-Sonal-Jain-Women-Dresses-2711689574634442-1.jpg,₹2599,MABISH by Sonal Jain Ethnic Motifs Printed Gathered Detail Wrap Midi Dress,₹987,4.0,517,Fall,https://www.myntra.com/dresses/mabish+by+sonal+jain/mabish-by-sonal-jain-ethnic-motifs-printed-gathered-detail-wrap-midi-dress/23893706/buy
SASSAFRAS,₹1242,69%,23172576,http://assets.myntassets.com/assets/images/23172576/2023/5/13/40064cf1-5234-420c-b370-6c71d812aebb1683983042786SASSAFRASMagentaSheathDress1.jpg,₹1799,SASSAFRAS Bodycon Sheath Dress,₹557,4.5,325,Summer,https://www.myntra.com/dresses/sassafras/sassafras-bodycon-sheath-dress/23172576/buy
SASSAFRAS,₹1749,70%,23057994,http://assets.myntassets.com/assets/images/23057994/2023/5/6/d5d74555-80bc-4637-b219-805a51de155e1683371462280SASSAFRASMulticolouredFloralPrintCrepeMaxiDress1.jpg,₹2498,SASSAFRAS Blue Floral Printed Cut Out Crepe Maxi Dress,₹749,4.3,300,Summer,https://www.myntra.com/dresses/sassafras/sassafras-blue-floral-printed-cut-out-crepe-maxi-dress/23057994/buy
Tokyo Talkies,₹1100,71%,17024278,http://assets.myntassets.com/assets/images/17024278/2022/2/2/dd62e70b-ceda-4d7e-8262-2c17e8d45c6e1643810876412TokyoTalkiesLavenderMaxiDress1.jpg,₹1549,Tokyo Talkies Women Elegant Lavender Solid Dress,₹449,4.4,1177,Summer,https://www.myntra.com/dresses/tokyo+talkies/tokyo-talkies-women-elegant-lavender-solid-dress/17024278/buy
Sangria,₹1400,70%,23307178,http://assets.myntassets.com/assets/images/23307178/2023/7/12/92260f64-6242-4cd3-995d-c29e54507c211689154484599-Sangria-Women-Ethnic-Dresses-1461689154484145-1.jpg,₹1999,Sangria Cotton Printed Flounced Hem Tiered Detail A-Line Ethnic Dress,₹599,4.0,172,Fall,https://www.myntra.com/ethnic-dresses/sangria/sangria-cotton-printed-flounced-hem-tiered-detail-a-line-ethnic-dress/23307178/buy
AASK,₹3107,84%,22389450,http://assets.myntassets.com/assets/images/22389450/2023/3/17/5b57f6f2-752c-49b8-8812-9091e705c0f21678998755039AASKPurplePuffSleeveCrepeFitFlareDress1.jpg,₹3698,AASK Puff Sleeve Crepe Fit & Flare Dress,₹591,4.1,1075,Summer,https://www.myntra.com/dresses/aask/aask-puff-sleeve-crepe-fit--flare-dress/22389450/buy
BAESD,₹2905,83%,23322950,http://assets.myntassets.com/assets/images/23322950/2023/5/22/e6589c62-264a-48a2-86d5-16e8c543c3261684741715065BAESDPinkFloralPrintGeorgetteFitFlareMidiDress1.jpg,₹3499,BAESD Floral Printed Georgette Casual Fit & Flare Midi Dress,₹594,3.9,412,Summer,https://www.myntra.com/dresses/baesd/baesd-floral-printed-georgette-casual-fit--flare-midi-dress/23322950/buy
H&M,₹200,50%,21984504,http://assets.myntassets.com/assets/images/21984504/2023/2/15/eb266969-bace-4516-963a-bb1217cb587d1676451076918Patternedcottondress1.jpg,₹399,H&M Girls Patterned Cotton Dress,₹199,4.4,114,Winter,https://www.myntra.com/dresses/h%26m/hm-girls-patterned-cotton-dress/21984504/buy
Libas,₹1430,65%,10842022,http://assets.myntassets.com/assets/images/10842022/2019/11/6/a373d08e-a2fb-4cbf-9a19-dd9679ea0c181573032453223-Libas-Women-Dresses-7681573032451400-1.jpg,₹2199,Libas Black Embroidered Ethnic Motifs A-Line Dress,₹769,4.4,18310,Summer,https://www.myntra.com/ethnic-dresses/libas/libas-black-embroidered-ethnic-motifs-a-line-dress/10842022/buy
DressBerry,₹2160,72%,24000348,http://assets.myntassets.com/assets/images/24000348/2023/7/21/2870d25d-fcd8-42c1-a334-f8f92e580fb31689938455915-DressBerry-Pink-Floral-Printed-Puff-Sleeves-Square-Neck-Maxi-3.jpg,₹2999,DressBerry Pink Floral Printed Puff Sleeves Square Neck Maxi Dress,₹839,4.3,110,Fall,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-printed-puff-sleeves-square-neck-maxi-dress/24000348/buy
